stratum,images,macro_hmean,macro_precision,macro_recall,global_hmean,global_precision,global_recall,regions_total,regions_mean
all,3676,0.9469375434008318,0.9507386277392263,0.947650459326978,0.9477749055101252,0.9500452167631581,0.9455154190583981,405120,110.20674646354733
original_split=train,3272,0.9461030873747811,0.9501377799227142,0.9467093270086435,0.9472006750453373,0.9496196551176594,0.9447939874669835,360724,110.24572127139365
original_split=val,404,0.9536958110177576,0.9556049001541468,0.9552726992913106,0.9525253869892714,0.9535585195744031,0.9514944906754,44396,109.89108910891089
gt_region_bin=0,736,0.9401437067831664,0.9450885585468748,0.9410781854227104,0.9501912323748442,0.9568252109267991,0.9436486114473915,54861,74.53940217391305
gt_region_bin=1,735,0.9538834604428333,0.9571309169336241,0.9560801017015766,0.9595115051523426,0.962002542186227,0.9570333355250181,70478,95.88843537414967
gt_region_bin=2,735,0.9579125247034086,0.9603171689980695,0.9583531297996741,0.9584884894125137,0.9597500252369338,0.957230265666118,80915,110.08843537414965
gt_region_bin=3,735,0.9524105780789641,0.9608939719848892,0.9478730160971077,0.9542811106830452,0.961656626631246,0.9470178680704997,91407,124.36326530612244
gt_region_bin=4,735,0.9303466903109129,0.9302702094016432,0.9348768054830785,0.9264127047455084,0.9230090528621894,0.9298415518835107,107459,146.20272108843537
small_text_bin=0,1838,0.9490307775854059,0.9535328829184709,0.9501564746146963,0.9555332873232221,0.959823449648132,0.9512813061681358,184292,100.2676822633297
small_text_bin=1,1838,0.9448443092162578,0.9479443725599818,0.9451444440392597,0.9421581016340085,0.9429596358674944,0.9413579288829564,220828,120.14581066376496
small_text_lt12_ratio_high_quartile,919,0.9329704245688217,0.9346779473652908,0.934925828773581,0.928844826360046,0.927508544077431,0.9301849646215375,116956,127.26441784548422
short_side_1024_median_low_quartile,919,0.9323870860388801,0.9369198526534473,0.93210014818445,0.9285090411789259,0.9292194987749529,0.9277996691485209,121753,132.48422198041348
contrast_low_quartile,919,0.9421405571880745,0.9475057970517607,0.942303038598469,0.944603266919048,0.9481519598591224,0.9410810386483964,103405,112.51904243743199
blur_laplacian_low_quartile,919,0.9395895473359069,0.9490407077804354,0.9343892076215884,0.9428314445352048,0.9517951133080229,0.9340350338907899,97613,106.21653971708379
